ALL_ID	posterior_mean	posterior_sd	posterior_prob	PHENO
B_4403	0.0387964142654044	0.00545165952007646	100.0	Alanine aminotransferase
B_5701	0.0398904045847254	0.00680003993779351	100.0	Alanine aminotransferase
DQB1_604	0.0409269911113762	0.00784784060941652	100.0	Alanine aminotransferase
DQA1_501	-0.0206053837221766	0.0033762204227198397	100.0	Alanine aminotransferase
B_4001	0.0325089747864368	0.0057678331734072105	100.0	Albumin
C_1601	-0.0423899013364682	0.00639866553100525	89.1	Albumin
B_2705	0.0302269794037512	0.006482430757256121	100.0	Alkaline phosphatase
DQA1_301	0.0147004030559314	0.00335041037652903	100.0	Alkaline phosphatase
DPA1_103	0.0138371838378148	0.00327976959504223	100.0	Alkaline phosphatase
B_801	-0.039033540961002	0.00377192858757305	100.0	Apolipoprotein A
DQA1_102	-0.0228868870690421	0.0036793731884513705	100.0	Apolipoprotein A
B_801	-0.0262210833964458	0.00518926842599886	100.0	Aspartate aminotransferase
DRB1_101	0.044509730394751	0.00436508134878777	100.0	Aspartate aminotransferase
DRB1_301	-0.0539793255851172	0.0051531181490161795	100.0	Aspartate aminotransferase
A_1101	0.0406536414131273	0.00529303486253459	100.0	AST to ALT ratio
B_5701	-0.0332747914176507	0.00688548143845189	100.0	AST to ALT ratio
DRB3_101	-0.0342930407529194	0.00347534811850635	100.0	AST to ALT ratio
DQA1_201	-0.0344611044891208	0.0038904049932322296	100.0	AST to ALT ratio
C_1601	-0.0297716023157073	0.00636998864266764	100.0	Calcium
DRB1_301	-0.0270635434225424	0.0036889151344240705	100.0	Calcium
B_2705	0.0435346526267138	0.00648417691078525	100.0	C-reactive protein
DRB3_101	-0.0168077992024398	0.00345142706023779	100.0	C-reactive protein
DQA1_301	0.0334607477237406	0.00320208922567358	100.0	C-reactive protein
B_801	0.0228023350688353	0.0036061902306089703	100.0	Creatinine
DQA1_301	-0.0166578823965294	0.00315387701173899	100.0	Creatinine
DQB1_201	0.0275513331808182	0.007735168606658929	85.5	Cystatin C
A_301	0.0168001511321639	0.0039074310514539395	100.0	Direct bilirubin
DRB5_9901	-0.020855586563229	0.00382332085554146	100.0	Direct bilirubin
B_801	-0.0230605012450473	0.00359837052325482	100.0	eGFR
DQA1_301	0.0164943159096919	0.00314702250852361	100.0	eGFR
DQA1_501	-0.0294177990626178	0.0057868448745497	100.0	Gamma glutamyltransferase
A_301	-0.0239690072149211	0.0038366737192009203	100.0	HbA1c
C_702	-0.0205081750385157	0.00472486504899149	81.6	HbA1c
DQB1_201	0.0267861094510535	0.00581710452810865	100.0	HbA1c
B_801	-0.033989698215848	0.00374693969513221	100.0	HDL cholesterol
B_4001	-0.0342042371439367	0.00584841494288794	100.0	HDL cholesterol
DRB1_1302	-0.0457075671062413	0.00701436740202239	83.7	HDL cholesterol
C_701	-0.0155609233452882	0.00386436710364126	100.0	IGF-1
DQB1_501	0.0304387919723812	0.00393335728319051	100.0	IGF-1
DQA1_501	-0.0182812390977876	0.0035821786575089797	100.0	IGF-1
B_801	-0.0816422163515417	0.00735346874059347	100.0	Non-albumin protein
DQB1_301	0.0162056851642808	0.00357003281343905	100.0	Non-albumin protein
DQA1_201	-0.0696367038085761	0.00769521047859595	100.0	Non-albumin protein
A_101	-0.0129867537963882	0.00336970852193838	81.0	Phosphate
DPB1_101	-0.0261736555801691	0.00581127475965457	100.0	Phosphate
DPB1_501	-0.0504664431836722	0.00930859727211711	100.0	Phosphate
B_4402	-0.0244800941955583	0.00425441648607943	100.0	SHBG
C_702	0.0220787507045291	0.0036999658574963703	100.0	SHBG
C_401	0.0258746901829817	0.00475959016633148	100.0	Testosterone
A_101	-0.0178605274239666	0.00379689189212979	100.0	Total bilirubin
DRB5_9901	-0.0243021685477877	0.0038098807024704398	100.0	Total bilirubin
B_801	-0.0562466913837322	0.00542680325782721	100.0	Total protein
DQA1_201	-0.0773682802839975	0.0037904735662250204	89.0	Total protein
C_401	0.0345634117549074	0.00456127866953667	100.0	Triglycerides
DRB1_301	-0.0424120592015337	0.0035509909895563	100.0	Triglycerides
A_101	0.0146339893354606	0.00353796215690766	93.8	Urate
A_301	0.0191208356846603	0.00405250936715952	100.0	Urate
A_2402	-0.0210120836219585	0.0052084136881705295	100.0	Urate
A_3201	-0.0279804775546212	0.007037903500478129	94.0	Urate
DPB1_301	0.0269212620848975	0.00442994401953795	100.0	Urate
DRB1_1101	0.0327148706450394	0.00777973960362204	100.0	Urea
